"","trial","pd_total","N_within"
"",59,12.1855987957936,26
"pd_total_new",71,12.9819177207728,23
"pd_total_new",55,13.0447880423822,23
"pd_total_new",5,13.142129658615,24
"pd_total_new",56,13.8573055588406,22
"pd_total_new",4,14.0799447350506,18
"pd_total_new",74,14.7662920309591,20
"pd_total_new",96,14.9136496408413,24
"pd_total_new",11,15.2067805108539,22
"pd_total_new",27,15.2708190199829,19
"pd_total_new",51,15.6495432600316,22
"pd_total_new",18,15.7081451845376,22
"pd_total_new",80,15.9085005784265,23
"pd_total_new",50,15.9733204092528,20
"pd_total_new",48,15.9790116967066,20
"pd_total_new",14,15.9901701742682,22
"pd_total_new",38,16.4103465291849,20
"pd_total_new",20,16.5785260445947,20
"pd_total_new",46,16.6709900879439,20
"pd_total_new",37,16.9032158711123,23
"pd_total_new",32,16.9092558628771,17
"pd_total_new",92,16.9099205272318,16
"pd_total_new",60,17.3085041613792,18
"pd_total_new",8,17.5989683184967,17
"pd_total_new",73,17.7011259238152,21
"pd_total_new",63,18.2809645228914,23
"pd_total_new",97,18.3704941256776,19
"pd_total_new",90,18.4283845835784,18
"pd_total_new",23,18.973462542315,18
"pd_total_new",93,19.2743106836114,17
"pd_total_new",19,19.5495853211498,17
"pd_total_new",28,19.7143405727956,17
"pd_total_new",12,19.7334827767798,18
"pd_total_new",77,20.2084918212063,15
"pd_total_new",72,20.4171792686623,19
"pd_total_new",68,20.4353055433313,15
"pd_total_new",66,20.4386691173252,16
"pd_total_new",36,21.1212958422636,16
"pd_total_new",16,23.0748410207922,16
"pd_total_new",83,23.1793980009248,18
"pd_total_new",98,23.2619183105244,14
"pd_total_new",47,24.1520849378739,17
"pd_total_new",31,25.0833885780399,17
"pd_total_new",9,27.2814884016684,15
"pd_total_new",41,27.5391264918234,15
"pd_total_new",35,30.422494075557,14
"pd_total_new",30,30.9000816475181,14
"pd_total_new",26,31.2644973782137,13
"pd_total_new",87,32.0820690376052,21
"pd_total_new",43,32.3487859742276,18
